<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.09	22:20:00	1.20736	1.20753	1.20736	1.20750	149	0	0
2020.12.09	22:24:00	1.20750	1.20753	1.20720	1.20752	173	0	0
2020.12.09	22:28:00	1.20752	1.20778	1.20747	1.20766	185	0	0
2020.12.09	22:32:00	1.20766	1.20800	1.20766	1.20800	167	0	0
2020.12.09	22:36:00	1.20800	1.20816	1.20794	1.20801	193	0	0
2020.12.09	22:40:00	1.20801	1.20816	1.20796	1.20812	185	0	0
2020.12.09	22:44:00	1.20814	1.20818	1.20796	1.20802	144	0	0
2020.12.09	22:48:00	1.20802	1.20820	1.20796	1.20817	154	0	0
2020.12.09	22:52:00	1.20817	1.20822	1.20795	1.20804	220	0	0
2020.12.09	22:56:00	1.20804	1.20805	1.20792	1.20800	255	0	0
2020.12.09	23:00:00	1.20800	1.20820	1.20795	1.20818	205	0	0
2020.12.09	23:04:00	1.20818	1.20828	1.20803	1.20806	67	0	0
2020.12.09	23:08:00	1.20806	1.20817	1.20805	1.20816	56	0	0
2020.12.09	23:12:00	1.20816	1.20832	1.20815	1.20822	77	0	0
2020.12.09	23:16:00	1.20822	1.20831	1.20822	1.20828	31	0	0
2020.12.09	23:20:00	1.20828	1.20834	1.20818	1.20834	53	0	0
2020.12.09	23:24:00	1.20834	1.20838	1.20830	1.20832	19	0	0
2020.12.09	23:28:00	1.20832	1.20833	1.20816	1.20829	83	0	0
2020.12.09	23:32:00	1.20829	1.20829	1.20811	1.20812	59	0	0
2020.12.09	23:36:00	1.20812	1.20817	1.20812	1.20812	41	0	0
2020.12.09	23:40:00	1.20812	1.20815	1.20803	1.20808	57	0	0
2020.12.09	23:44:00	1.20808	1.20834	1.20807	1.20832	94	0	0
2020.12.09	23:48:00	1.20832	1.20832	1.20827	1.20832	67	0	0
2020.12.09	23:52:00	1.20832	1.20834	1.20808	1.20808	93	0	0
2020.12.09	23:56:00	1.20808	1.20816	1.20804	1.20814	75	0	0
2020.12.10	00:00:00	1.20799	1.20818	1.20769	1.20815	19	0	4
2020.12.10	00:04:00	1.20815	1.20815	1.20810	1.20810	15	0	10
2020.12.10	00:08:00	1.20811	1.20812	1.20810	1.20810	27	0	20
2020.12.10	00:12:00	1.20810	1.20813	1.20790	1.20802	22	0	0
2020.12.10	00:16:00	1.20802	1.20815	1.20796	1.20797	25	0	0
2020.12.10	00:20:00	1.20797	1.20797	1.20752	1.20773	83	0	1
2020.12.10	00:24:00	1.20773	1.20782	1.20746	1.20776	43	0	4
2020.12.10	00:28:00	1.20776	1.20807	1.20775	1.20775	26	0	6
2020.12.10	00:32:00	1.20775	1.20775	1.20758	1.20759	30	0	1
2020.12.10	00:36:00	1.20759	1.20762	1.20752	1.20762	21	0	12
2020.12.10	00:40:00	1.20762	1.20782	1.20762	1.20775	27	0	5
2020.12.10	00:44:00	1.20775	1.20788	1.20775	1.20782	12	0	2
2020.12.10	00:48:00	1.20782	1.20810	1.20782	1.20809	49	0	2
